assigned_by,origin_station,destination_station,mission_type,crew_status,navigation_mode,car_color,last_telemetry_message,ship_serial_number
Captain Kael,Lunaris Port,Cryon Reach,commute,automated,auto,RoyalBlue,Power levels nominal. Adjusting trajectory.,CXS-6862-DH
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,Ivory,Power levels nominal. Adjusting trajectory.,CXS-6794-CK
Marshal Keir,Cerebra Ring,Zenthar Relay,commute,automated,auto,Beige,Fuel low. Navigating around debris.,CXS-3662-SR
Dr. Calix Renner,Orryx Haven,Zenthar Relay,commute,automated,auto,Khaki,Fuel low. Navigating around debris.,CXS-6442-SH
Tamsin Ryx,Cerebra Ring,Thalos Crossing,commute,automated,auto,AntiqueWhite,Re-routing due to unstable path.,CXS-3608-CW
Dr. Calix Renner,Vega Spire,Zenthar Relay,commute,automated,auto,Chocolate,Clear path confirmed. Continuing cruise.,CXS-4644-HC
Commander Yulo,Cryon Reach,Thalos Crossing,commute,automated,auto,BlanchedAlmond,Re-routing due to unstable path.,CXS-6000-KC
Dr. Calix Renner,Cryon Reach,Vega Spire,commute,automated,auto,Thistle,Fuel low. Navigating around debris.,CXS-7528-HI
Elia Vorn,Helion Hub,Orryx Haven,commute,automated,auto,SlateBlue,Re-routing due to unstable path.,CXS-6753-GR
Captain Kael,Cerebra Ring,Helion Hub,commute,automated,auto,DarkSeaGreen,Power levels nominal. Adjusting trajectory.,CXS-2889-XS
Axel Orov,Zenthar Relay,Vega Spire,commute,automated,auto,Sienna,Power levels nominal. Adjusting trajectory.,CXS-2776-HZ
Captain Kael,Cerebra Ring,Orryx Haven,commute,automated,auto,Sienna,Clear path confirmed. Continuing cruise.,CXS-9379-ZN
Tamsin Ryx,Vega Spire,Zenthar Relay,commute,automated,auto,Gold,Re-routing due to unstable path.,CXS-1727-DD
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,Plum,Re-routing due to unstable path.,CXS-8066-LN
Captain Kael,Vega Spire,Cerebra Ring,commute,automated,auto,PaleVioletRed,Minor vibration detected. Monitoring systems.,CXS-6143-OX
Axel Orov,Vega Spire,Cerebra Ring,commute,automated,auto,CadetBlue,Minor vibration detected. Monitoring systems.,CXS-6067-VU
Zara Strix,Cerebra Ring,Orryx Haven,commute,automated,auto,DarkGreen,Re-routing due to unstable path.,CXS-3085-BM
Zara Strix,Cryon Reach,Zenthar Relay,commute,automated,auto,MediumSlateBlue,Fuel low. Navigating around debris.,CXS-5930-ZD
Dr. Calix Renner,Cerebra Ring,Zenthar Relay,commute,automated,auto,LightBlue,Re-routing due to unstable path.,CXS-5700-GG
Captain Kael,Cryon Reach,Zenthar Relay,commute,automated,auto,WhiteSmoke,Clear path confirmed. Continuing cruise.,CXS-8238-OE
Tamsin Ryx,Thalos Crossing,Helion Hub,commute,automated,auto,Peru,Minor vibration detected. Monitoring systems.,CXS-8752-FI
Elia Vorn,Orryx Haven,Cerebra Ring,commute,automated,auto,SandyBrown,Re-routing due to unstable path.,CXS-9445-HC
Tamsin Ryx,Helion Hub,Lunaris Port,commute,automated,auto,Red,Re-routing due to unstable path.,CXS-4680-ZR
Dr. Calix Renner,Cryon Reach,Vega Spire,commute,automated,auto,DarkGreen,Power levels nominal. Adjusting trajectory.,CXS-5011-BU
Elia Vorn,Thalos Crossing,Zenthar Relay,commute,automated,auto,Yellow,Clear path confirmed. Continuing cruise.,CXS-7790-AC
Zara Strix,Cryon Reach,Cerebra Ring,commute,automated,auto,LavenderBlush,Clear path confirmed. Continuing cruise.,CXS-7547-FN
Dr. Calix Renner,Cryon Reach,Vega Spire,commute,automated,auto,SlateBlue,Power levels nominal. Adjusting trajectory.,CXS-7965-PG
Commander Yulo,Cryon Reach,Vega Spire,commute,automated,auto,PaleGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-5082-BF
Marshal Keir,Vega Spire,Zenthar Relay,commute,automated,auto,Olive,Clear path confirmed. Continuing cruise.,CXS-9702-AM
Commander Yulo,Helion Hub,Thalos Crossing,commute,automated,auto,LightGray,Minor vibration detected. Monitoring systems.,CXS-9270-ZZ
Commander Yulo,Cerebra Ring,Thalos Crossing,commute,automated,auto,SaddleBrown,Fuel low. Navigating around debris.,CXS-8777-JN
Tamsin Ryx,Thalos Crossing,Orryx Haven,commute,automated,auto,SlateBlue,Re-routing due to unstable path.,CXS-9540-EG
Tamsin Ryx,Thalos Crossing,Helion Hub,commute,automated,auto,LightYellow,Re-routing due to unstable path.,CXS-8206-GB
Axel Orov,Vega Spire,Cerebra Ring,commute,automated,auto,Yellow,Fuel low. Navigating around debris.,CXS-5451-BX
Elia Vorn,Helion Hub,Orryx Haven,commute,automated,auto,Maroon,Fuel low. Navigating around debris.,CXS-3471-BB
Marshal Keir,Cryon Reach,Zenthar Relay,commute,automated,auto,Silver,Fuel low. Navigating around debris.,CXS-2052-QQ
Captain Kael,Cerebra Ring,Cryon Reach,commute,automated,auto,DimGray,Minor vibration detected. Monitoring systems.,CXS-8633-BQ
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,Cyan,Clear path confirmed. Continuing cruise.,CXS-7381-FC
Zara Strix,Lunaris Port,Thalos Crossing,commute,automated,auto,CornflowerBlue,Clear path confirmed. Continuing cruise.,CXS-1096-VH
Zara Strix,Helion Hub,Orryx Haven,commute,automated,auto,PaleGreen,Clear path confirmed. Continuing cruise.,CXS-9818-DS
Tamsin Ryx,Cryon Reach,Zenthar Relay,commute,automated,auto,LightBlue,Re-routing due to unstable path.,CXS-8140-ST
Zara Strix,Thalos Crossing,Lunaris Port,commute,automated,auto,BlueViolet,Re-routing due to unstable path.,CXS-7624-TC
Commander Yulo,Orryx Haven,Thalos Crossing,commute,automated,auto,PeachPuff,Fuel low. Navigating around debris.,CXS-9751-VS
Dr. Calix Renner,Lunaris Port,Zenthar Relay,commute,automated,auto,Turquoise,Power levels nominal. Adjusting trajectory.,CXS-8022-KI
Commander Yulo,Orryx Haven,Thalos Crossing,commute,automated,auto,GreenYellow,Fuel low. Navigating around debris.,CXS-1823-VW
Captain Kael,Zenthar Relay,Cryon Reach,commute,automated,auto,Maroon,Fuel low. Navigating around debris.,CXS-8449-HI
Zara Strix,Helion Hub,Orryx Haven,commute,automated,auto,Orchid,Re-routing due to unstable path.,CXS-7906-EV
Elia Vorn,Zenthar Relay,Thalos Crossing,commute,automated,auto,Lime,Clear path confirmed. Continuing cruise.,CXS-1317-OK
Tamsin Ryx,Lunaris Port,Cryon Reach,commute,automated,auto,Cornsilk,Power levels nominal. Adjusting trajectory.,CXS-1659-AO
Tamsin Ryx,Lunaris Port,Orryx Haven,commute,automated,auto,DarkGreen,Power levels nominal. Adjusting trajectory.,CXS-3496-CR
Commander Yulo,Cryon Reach,Vega Spire,commute,automated,auto,HotPink,Power levels nominal. Adjusting trajectory.,CXS-4571-QI
Axel Orov,Thalos Crossing,Helion Hub,commute,automated,auto,DarkSeaGreen,Re-routing due to unstable path.,CXS-3749-LC
Marshal Keir,Vega Spire,Thalos Crossing,commute,automated,auto,LemonChiffon,Re-routing due to unstable path.,CXS-2771-LJ
Zara Strix,Lunaris Port,Cryon Reach,commute,automated,auto,DimGray,Clear path confirmed. Continuing cruise.,CXS-4249-OR
Tamsin Ryx,Vega Spire,Helion Hub,commute,automated,auto,LimeGreen,Power levels nominal. Adjusting trajectory.,CXS-5941-TZ
Dr. Calix Renner,Vega Spire,Thalos Crossing,commute,automated,auto,Wheat,Re-routing due to unstable path.,CXS-9728-AV
Captain Kael,Cerebra Ring,Helion Hub,commute,automated,auto,Lime,Power levels nominal. Adjusting trajectory.,CXS-9289-VD
Zara Strix,Helion Hub,Lunaris Port,commute,automated,auto,DarkSlateBlue,Clear path confirmed. Continuing cruise.,CXS-2729-ID
Commander Yulo,Cerebra Ring,Orryx Haven,commute,automated,auto,DarkMagenta,Fuel low. Navigating around debris.,CXS-8135-XR
Axel Orov,Orryx Haven,Cerebra Ring,commute,automated,auto,DeepSkyBlue,Minor vibration detected. Monitoring systems.,CXS-9817-IJ
Zara Strix,Thalos Crossing,Cryon Reach,commute,automated,auto,HoneyDew,Minor vibration detected. Monitoring systems.,CXS-5397-WK
Tamsin Ryx,Helion Hub,Thalos Crossing,commute,automated,auto,GreenYellow,Power levels nominal. Adjusting trajectory.,CXS-5569-VU
Commander Yulo,Thalos Crossing,Vega Spire,commute,automated,auto,LightGray,Minor vibration detected. Monitoring systems.,CXS-7209-QP
Commander Yulo,Helion Hub,Lunaris Port,commute,automated,auto,LightCoral,Re-routing due to unstable path.,CXS-3979-BC
Captain Kael,Thalos Crossing,Vega Spire,commute,automated,auto,Peru,Re-routing due to unstable path.,CXS-6576-IB
Axel Orov,Zenthar Relay,Helion Hub,commute,automated,auto,AliceBlue,Minor vibration detected. Monitoring systems.,CXS-1166-KY
Tamsin Ryx,Cryon Reach,Lunaris Port,commute,automated,auto,DarkSeaGreen,Clear path confirmed. Continuing cruise.,CXS-9004-UI
Commander Yulo,Cryon Reach,Cerebra Ring,commute,automated,auto,DodgerBlue,Clear path confirmed. Continuing cruise.,CXS-8342-XO
Axel Orov,Lunaris Port,Vega Spire,commute,automated,auto,Pink,Fuel low. Navigating around debris.,CXS-7625-RA
Captain Kael,Cryon Reach,Orryx Haven,commute,automated,auto,DarkOliveGreen,Clear path confirmed. Continuing cruise.,CXS-9698-CW
Captain Kael,Helion Hub,Cryon Reach,commute,automated,auto,DeepPink,Re-routing due to unstable path.,CXS-8434-RB
Axel Orov,Zenthar Relay,Orryx Haven,commute,automated,auto,NavajoWhite,Fuel low. Navigating around debris.,CXS-2976-SR
Elia Vorn,Cryon Reach,Orryx Haven,commute,automated,auto,DarkViolet,Minor vibration detected. Monitoring systems.,CXS-4033-NE
Commander Yulo,Cryon Reach,Vega Spire,commute,automated,auto,BlueViolet,Re-routing due to unstable path.,CXS-9595-JL
Tamsin Ryx,Zenthar Relay,Lunaris Port,commute,automated,auto,BlueViolet,Re-routing due to unstable path.,CXS-4727-LG
Axel Orov,Helion Hub,Vega Spire,commute,automated,auto,LightBlue,Power levels nominal. Adjusting trajectory.,CXS-9751-VD
Dr. Calix Renner,Orryx Haven,Cryon Reach,commute,automated,auto,MidnightBlue,Power levels nominal. Adjusting trajectory.,CXS-5786-YR
Commander Yulo,Orryx Haven,Cerebra Ring,commute,automated,auto,PaleTurquoise,Power levels nominal. Adjusting trajectory.,CXS-1200-TX
Commander Yulo,Zenthar Relay,Cryon Reach,commute,automated,auto,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-6582-HF
Axel Orov,Orryx Haven,Lunaris Port,commute,automated,auto,Fuchsia,Clear path confirmed. Continuing cruise.,CXS-2869-NA
Commander Yulo,Vega Spire,Zenthar Relay,commute,automated,auto,Fuchsia,Power levels nominal. Adjusting trajectory.,CXS-1878-XK
Axel Orov,Orryx Haven,Vega Spire,commute,automated,auto,PaleVioletRed,Power levels nominal. Adjusting trajectory.,CXS-5066-ZV
Zara Strix,Vega Spire,Helion Hub,commute,automated,auto,LightBlue,Minor vibration detected. Monitoring systems.,CXS-4697-IF
Commander Yulo,Cerebra Ring,Cryon Reach,commute,automated,auto,DarkMagenta,Re-routing due to unstable path.,CXS-8025-MB
Dr. Calix Renner,Zenthar Relay,Helion Hub,commute,automated,auto,SeaShell,Minor vibration detected. Monitoring systems.,CXS-2625-HG
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,Salmon,Re-routing due to unstable path.,CXS-2330-LJ
Marshal Keir,Orryx Haven,Vega Spire,commute,automated,auto,Khaki,Minor vibration detected. Monitoring systems.,CXS-2229-HA
Zara Strix,Orryx Haven,Lunaris Port,commute,automated,auto,GoldenRod,Clear path confirmed. Continuing cruise.,CXS-8699-MK
Tamsin Ryx,Zenthar Relay,Lunaris Port,commute,automated,auto,LightSeaGreen,Re-routing due to unstable path.,CXS-5632-CY
Tamsin Ryx,Thalos Crossing,Lunaris Port,commute,automated,auto,LightSeaGreen,Re-routing due to unstable path.,CXS-4241-LU
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,Teal,Fuel low. Navigating around debris.,CXS-5352-MV
Dr. Calix Renner,Orryx Haven,Lunaris Port,commute,automated,auto,WhiteSmoke,Fuel low. Navigating around debris.,CXS-6039-KA
Elia Vorn,Zenthar Relay,Cryon Reach,commute,automated,auto,DarkOrange,Clear path confirmed. Continuing cruise.,CXS-5982-IF
Commander Yulo,Cerebra Ring,Orryx Haven,commute,automated,auto,LightGray,Clear path confirmed. Continuing cruise.,CXS-2317-BD
Captain Kael,Lunaris Port,Zenthar Relay,commute,automated,auto,PowderBlue,Minor vibration detected. Monitoring systems.,CXS-5102-LX
Tamsin Ryx,Lunaris Port,Vega Spire,commute,automated,auto,Maroon,Minor vibration detected. Monitoring systems.,CXS-1339-NT
Dr. Calix Renner,Zenthar Relay,Helion Hub,commute,automated,auto,Teal,Fuel low. Navigating around debris.,CXS-8708-DM
Marshal Keir,Thalos Crossing,Orryx Haven,commute,automated,auto,Gold,Minor vibration detected. Monitoring systems.,CXS-8141-IB
Commander Yulo,Thalos Crossing,Lunaris Port,commute,automated,auto,PowderBlue,Re-routing due to unstable path.,CXS-7690-AQ
Elia Vorn,Helion Hub,Orryx Haven,commute,automated,auto,WhiteSmoke,Fuel low. Navigating around debris.,CXS-6403-VX
Commander Yulo,Cerebra Ring,Helion Hub,commute,automated,auto,Gray,Re-routing due to unstable path.,CXS-7561-LN
Elia Vorn,Lunaris Port,Zenthar Relay,commute,automated,auto,CornflowerBlue,Re-routing due to unstable path.,CXS-5135-VK
Zara Strix,Helion Hub,Lunaris Port,commute,automated,auto,Maroon,Minor vibration detected. Monitoring systems.,CXS-1018-VD
Dr. Calix Renner,Thalos Crossing,Cryon Reach,commute,automated,auto,Lime,Fuel low. Navigating around debris.,CXS-9494-QJ
Commander Yulo,Helion Hub,Zenthar Relay,commute,automated,auto,PaleTurquoise,Clear path confirmed. Continuing cruise.,CXS-1845-KM
Marshal Keir,Cryon Reach,Orryx Haven,commute,automated,auto,LightYellow,Re-routing due to unstable path.,CXS-8178-RE
Dr. Calix Renner,Thalos Crossing,Lunaris Port,commute,automated,auto,GoldenRod,Minor vibration detected. Monitoring systems.,CXS-4920-NV
Dr. Calix Renner,Orryx Haven,Cryon Reach,commute,automated,auto,Olive,Minor vibration detected. Monitoring systems.,CXS-7684-VX
Elia Vorn,Vega Spire,Orryx Haven,commute,automated,auto,ForestGreen,Clear path confirmed. Continuing cruise.,CXS-2924-TS
Axel Orov,Orryx Haven,Zenthar Relay,commute,automated,auto,LimeGreen,Minor vibration detected. Monitoring systems.,CXS-5479-MR
Commander Yulo,Cerebra Ring,Thalos Crossing,commute,automated,auto,AliceBlue,Clear path confirmed. Continuing cruise.,CXS-4993-JJ
Marshal Keir,Thalos Crossing,Zenthar Relay,commute,automated,auto,HoneyDew,Clear path confirmed. Continuing cruise.,CXS-4122-NZ
Elia Vorn,Orryx Haven,Thalos Crossing,commute,automated,auto,MediumBlue,Re-routing due to unstable path.,CXS-7798-OO
Axel Orov,Helion Hub,Thalos Crossing,commute,automated,auto,Red,Power levels nominal. Adjusting trajectory.,CXS-5634-VG
Commander Yulo,Zenthar Relay,Thalos Crossing,commute,automated,auto,Teal,Fuel low. Navigating around debris.,CXS-8316-PZ
Captain Kael,Thalos Crossing,Orryx Haven,commute,automated,auto,FloralWhite,Minor vibration detected. Monitoring systems.,CXS-9903-VC
Captain Kael,Cerebra Ring,Cryon Reach,commute,automated,auto,LightSkyBlue,Fuel low. Navigating around debris.,CXS-4912-QV
Zara Strix,Cerebra Ring,Vega Spire,commute,automated,auto,MediumSeaGreen,Power levels nominal. Adjusting trajectory.,CXS-6213-CY
Zara Strix,Thalos Crossing,Helion Hub,commute,automated,auto,LavenderBlush,Clear path confirmed. Continuing cruise.,CXS-3492-VJ
Marshal Keir,Thalos Crossing,Lunaris Port,commute,automated,auto,Ivory,Minor vibration detected. Monitoring systems.,CXS-6439-ZG
Commander Yulo,Vega Spire,Thalos Crossing,commute,automated,auto,DarkViolet,Power levels nominal. Adjusting trajectory.,CXS-9617-AB
Marshal Keir,Thalos Crossing,Lunaris Port,commute,automated,auto,LemonChiffon,Clear path confirmed. Continuing cruise.,CXS-3529-PT
Axel Orov,Vega Spire,Zenthar Relay,commute,automated,auto,Cornsilk,Re-routing due to unstable path.,CXS-7512-ON
Captain Kael,Vega Spire,Thalos Crossing,commute,automated,auto,GoldenRod,Minor vibration detected. Monitoring systems.,CXS-7226-WW
Commander Yulo,Helion Hub,Cerebra Ring,commute,automated,auto,OliveDrab,Minor vibration detected. Monitoring systems.,CXS-1588-PM
Axel Orov,Vega Spire,Orryx Haven,commute,automated,auto,LemonChiffon,Fuel low. Navigating around debris.,CXS-2480-EU
Elia Vorn,Cerebra Ring,Lunaris Port,commute,automated,auto,AntiqueWhite,Clear path confirmed. Continuing cruise.,CXS-3725-YY
Dr. Calix Renner,Zenthar Relay,Lunaris Port,commute,automated,auto,DarkMagenta,Re-routing due to unstable path.,CXS-1919-YN
Captain Kael,Zenthar Relay,Orryx Haven,commute,automated,auto,Indigo,Clear path confirmed. Continuing cruise.,CXS-3385-FZ
Zara Strix,Cryon Reach,Helion Hub,commute,automated,auto,Tomato,Minor vibration detected. Monitoring systems.,CXS-3950-OB
Elia Vorn,Orryx Haven,Vega Spire,commute,automated,auto,LightBlue,Minor vibration detected. Monitoring systems.,CXS-7267-DO
Marshal Keir,Cryon Reach,Zenthar Relay,commute,automated,auto,DarkSlateBlue,Fuel low. Navigating around debris.,CXS-8555-ZO
Axel Orov,Zenthar Relay,Cryon Reach,commute,automated,auto,Wheat,Power levels nominal. Adjusting trajectory.,CXS-8622-RT
Marshal Keir,Zenthar Relay,Cerebra Ring,commute,automated,auto,MediumAquaMarine,Power levels nominal. Adjusting trajectory.,CXS-8237-YO
